name,url,logo_url,image_url,description,tags,founded_year,category,type,country,is_active,slug,address,social_links,logo_alt_text,image_alt_text,seo_title,seo_description
Dash Water,https://dash-water.com/,https://img.logo.dev/dash-water.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dash-water.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sparkling water infused with wonky fruit on subscription providing a sustainable zero-sugar alternative to soft drinks.,"D2C Subscription, Drinks & Beverages",2017,Drinks & Beverages,D2C Subscription,United Kingdom,1,dash-water,"London, United Kingdom",,Dash Water logo,Dash Water - UK subscription brand,Dash Water | UK Subscription | The UK Subscription Index,Sparkling water infused with wonky fruit on subscription providing a sustainable zero-sugar alternative to soft drinks. Listed on The UK Subscription Index.
Pip & Nut,https://www.pipandnut.com/,https://img.logo.dev/pipandnut.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/pipandnut.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Natural nut butter and protein snack subscription made from simple wholesome ingredients without palm oil or refined sugars.,"D2C Subscription, Food & Drink",2013,Food & Drink,D2C Subscription,United Kingdom,1,pip-nut,"London, United Kingdom",,Pip & Nut logo,Pip & Nut - UK subscription brand,Pip & Nut | UK Subscription | The UK Subscription Index,Natural nut butter and protein snack subscription made from simple wholesome ingredients without palm oil or refined sugars. Listed on The UK Subscription Index.
Waken Mouthcare,https://wakencare.com/,https://img.logo.dev/wakencare.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/wakencare.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sustainable mouthwash tablet and oral care subscription offering vegan and plastic-free alternatives to traditional liquid mouthwash products.,"D2C Subscription, Beauty & Personal Care",2020,Beauty & Personal Care,D2C Subscription,United Kingdom,1,waken-mouthcare,"London, United Kingdom",,Waken Mouthcare logo,Waken Mouthcare - UK subscription brand,Waken Mouthcare | UK Subscription | The UK Subscription Index,Sustainable mouthwash tablet and oral care subscription offering vegan and plastic-free alternatives to traditional liquid mouthwash products. Listed on The UK Subscription Index.
Suri,https://www.trysuri.com/,https://img.logo.dev/trysuri.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/trysuri.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sustainable electric toothbrush subscription with a premium recyclable brush head and replaceable battery designed to eliminate bathroom plastic waste.,"D2C Subscription, Lifestyle & Sustainability",2022,Lifestyle & Sustainability,D2C Subscription,United Kingdom,1,suri,"London, United Kingdom",,Suri logo,Suri - UK subscription brand,Suri | UK Subscription | The UK Subscription Index,Sustainable electric toothbrush subscription with a premium recyclable brush head and replaceable battery designed to eliminate bathroom plastic. Listed on The UK Subscription Index.
Bird & Blend Tea Co.,https://www.birdandblendtea.com/,https://img.logo.dev/birdandblendtea.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/birdandblendtea.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Independent tea brand blending innovative loose leaf teas and herbals available in-store online and on subscription.,"D2C Subscription, Food & Drink",2013,Food & Drink,D2C Subscription,United Kingdom,1,bird-blend-tea-co,"Brighton, United Kingdom",,Bird & Blend Tea Co. logo,Bird & Blend Tea Co. - UK subscription brand,Bird & Blend Tea Co. | UK Subscription | The UK Subscription Index,Independent tea brand blending innovative loose leaf teas and herbals available in-store online and on subscription. Listed on The UK Subscription Index.
Get Nourish3d,https://get-nourished.com/,https://img.logo.dev/get-nourished.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/get-nourished.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Personalised 3D-printed vitamin gummies subscription formulated to individual health goals combining up to seven nutrients in one daily stack.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1,get-nourish3d,"Belfast, United Kingdom",,Get Nourish3d logo,Get Nourish3d - UK subscription brand,Get Nourish3d | UK Subscription | The UK Subscription Index,Personalised 3D-printed vitamin gummies subscription formulated to individual health goals combining up to seven nutrients in one daily stack. Listed on The UK Subscription Index.
Tonic Health,https://www.tonichealth.co/,https://img.logo.dev/tonichealth.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/tonichealth.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,High-dose immune support supplement subscription delivering effervescent vitamin C zinc and antioxidant blends for everyday resilience and recovery.,"D2C Subscription, Health & Wellness",2020,Health & Wellness,D2C Subscription,United Kingdom,1,tonic-health,"London, United Kingdom",,Tonic Health logo,Tonic Health - UK subscription brand,Tonic Health | UK Subscription | The UK Subscription Index,High-dose immune support supplement subscription delivering effervescent vitamin C zinc and antioxidant blends for everyday resilience and. Listed on The UK Subscription Index.
Innermost,https://www.innermostglobal.com/,https://img.logo.dev/innermostglobal.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/innermostglobal.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Science-backed protein powders and sports nutrition subscription formulated with evidence-based ingredients for performance and recovery.,"D2C Subscription, Health & Wellness",2017,Health & Wellness,D2C Subscription,United Kingdom,1,innermost,"London, United Kingdom",,Innermost logo,Innermost - UK subscription brand,Innermost | UK Subscription | The UK Subscription Index,Science-backed protein powders and sports nutrition subscription formulated with evidence-based ingredients for performance and recovery. Listed on The UK Subscription Index.
Gousto,https://www.gousto.co.uk/,https://img.logo.dev/gousto.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/gousto.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,UK's leading recipe kit subscription delivering fresh pre-portioned ingredients and easy chef-designed recipes with zero food waste.,"D2C Subscription, Food & Drink",2012,Food & Drink,D2C Subscription,United Kingdom,1,gousto,"London, United Kingdom",,Gousto logo,Gousto - UK subscription brand,Gousto | UK Subscription | The UK Subscription Index,UK's leading recipe kit subscription delivering fresh pre-portioned ingredients and easy chef-designed recipes with zero food waste. Listed on The UK Subscription Index.
NextUp Comedy,https://nextupcomedy.com/,https://img.logo.dev/nextupcomedy.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/nextupcomedy.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Comedy streaming subscription platform showcasing the best emerging and established stand-up comedians from the UK and around the world.,"D2C Subscription, Gifts & Entertainment",2016,Gifts & Entertainment,D2C Subscription,United Kingdom,1,nextup-comedy,"London, United Kingdom",,NextUp Comedy logo,NextUp Comedy - UK subscription brand,NextUp Comedy | UK Subscription | The UK Subscription Index,Comedy streaming subscription platform showcasing the best emerging and established stand-up comedians from the UK and around the world. Listed on The UK Subscription Index.
Fiit,https://fiit.tv/,https://img.logo.dev/fiit.tv?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/fiit.tv?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Interactive home fitness subscription with live and on-demand classes tracked by wearable devices in real time.,"D2C Subscription, Lifestyle & Sustainability",2017,Lifestyle & Sustainability,D2C Subscription,United Kingdom,1,fiit,"London, United Kingdom",,Fiit logo,Fiit - UK subscription brand,Fiit | UK Subscription | The UK Subscription Index,Interactive home fitness subscription with live and on-demand classes tracked by wearable devices in real time. Listed on The UK Subscription Index.
Perlego,https://www.perlego.com/,https://img.logo.dev/perlego.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/perlego.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Digital textbook and academic book subscription giving unlimited access to over a million titles for students professionals and lifelong learners.,"D2C Subscription, Gifts & Entertainment",2017,Gifts & Entertainment,D2C Subscription,United Kingdom,1,perlego,"London, United Kingdom",,Perlego logo,Perlego - UK subscription brand,Perlego | UK Subscription | The UK Subscription Index,Digital textbook and academic book subscription giving unlimited access to over a million titles for students professionals and lifelong. Listed on The UK Subscription Index.
Butternut Box,https://butternutbox.com/,https://img.logo.dev/butternutbox.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/butternutbox.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Freshly prepared human-grade dog food subscription delivered in personalised portions tailored to each dog's health needs.,"D2C Subscription, Pet Food & Care",2016,Pet Food & Care,D2C Subscription,United Kingdom,1,butternut-box,"London, United Kingdom",,Butternut Box logo,Butternut Box - UK subscription brand,Butternut Box | UK Subscription | The UK Subscription Index,Freshly prepared human-grade dog food subscription delivered in personalised portions tailored to each dog's health needs. Listed on The UK Subscription Index.
Firefish Software,https://www.firefishsoftware.com/,https://img.logo.dev/firefishsoftware.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/firefishsoftware.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,UK recruitment CRM and applicant tracking system helping agencies manage candidates clients and pipelines to fill more vacancies faster.,"B2B SaaS, HR & Operations",2004,HR & Operations,B2B SaaS,United Kingdom,1,firefish-software,"Newcastle, United Kingdom",,Firefish Software logo,Firefish Software - UK subscription brand,Firefish Software | UK Subscription | The UK Subscription Index,UK recruitment CRM and applicant tracking system helping agencies manage candidates clients and pipelines to fill more vacancies faster. Listed on The UK Subscription Index.
Pot Gang,https://www.potgang.co.uk/,https://img.logo.dev/potgang.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/potgang.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Urban gardening subscription delivering seasonal seed kits and growing guides to help beginners grow herbs vegetables and plants at home.,"D2C Subscription, Lifestyle & Sustainability",2020,Lifestyle & Sustainability,D2C Subscription,United Kingdom,1,pot-gang,"London, United Kingdom",,Pot Gang logo,Pot Gang - UK subscription brand,Pot Gang | UK Subscription | The UK Subscription Index,Urban gardening subscription delivering seasonal seed kits and growing guides to help beginners grow herbs vegetables and plants at home. Listed on The UK Subscription Index.
Resource Guru,https://resourceguruapp.com/,https://img.logo.dev/resourceguruapp.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/resourceguruapp.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Cloud-based resource scheduling and project management software helping teams manage people time and equipment with simple drag-and-drop planning.,"B2B SaaS, Software & SaaS",2012,Software & SaaS,B2B SaaS,United Kingdom,1,resource-guru,"London, United Kingdom",,Resource Guru logo,Resource Guru - UK subscription brand,Resource Guru | UK Subscription | The UK Subscription Index,Cloud-based resource scheduling and project management software helping teams manage people time and equipment with simple drag-and-drop. Listed on The UK Subscription Index.
Turtl,https://turtl.co/,https://img.logo.dev/turtl.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/turtl.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Content creation and analytics platform helping B2B marketers create interactive documents that engage readers and track content performance.,"B2B SaaS, Marketing & Growth",2014,Marketing & Growth,B2B SaaS,United Kingdom,1,turtl,"London, United Kingdom",,Turtl logo,Turtl - UK subscription brand,Turtl | UK Subscription | The UK Subscription Index,Content creation and analytics platform helping B2B marketers create interactive documents that engage readers and track content performance. Listed on The UK Subscription Index.
Timetastic,https://timetastic.co.uk/,https://img.logo.dev/timetastic.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/timetastic.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Simple and modern staff leave management software helping UK businesses plan holidays absences and time off without spreadsheets.,"B2B SaaS, HR & Operations",2012,HR & Operations,B2B SaaS,United Kingdom,1,timetastic,"Manchester, United Kingdom",,Timetastic logo,Timetastic - UK subscription brand,Timetastic | UK Subscription | The UK Subscription Index,Simple and modern staff leave management software helping UK businesses plan holidays absences and time off without spreadsheets. Listed on The UK Subscription Index.
BrightLocal,https://www.brightlocal.com/,https://img.logo.dev/brightlocal.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/brightlocal.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Local SEO platform and reporting tool helping marketing agencies and businesses track rankings manage citations and monitor online reputation.,"B2B SaaS, Marketing & Growth",2009,Marketing & Growth,B2B SaaS,United Kingdom,1,brightlocal,"Brighton, United Kingdom",,BrightLocal logo,BrightLocal - UK subscription brand,BrightLocal | UK Subscription | The UK Subscription Index,Local SEO platform and reporting tool helping marketing agencies and businesses track rankings manage citations and monitor online reputation. Listed on The UK Subscription Index.
ScreenCloud,https://screencloud.com/,https://img.logo.dev/screencloud.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/screencloud.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Digital signage software subscription enabling businesses to manage and publish content to screens across multiple locations from the cloud.,"B2B SaaS, Marketing & Growth",2015,Marketing & Growth,B2B SaaS,United Kingdom,1,screencloud,"London, United Kingdom",,ScreenCloud logo,ScreenCloud - UK subscription brand,ScreenCloud | UK Subscription | The UK Subscription Index,Digital signage software subscription enabling businesses to manage and publish content to screens across multiple locations from the cloud. Listed on The UK Subscription Index.
Ticket Tailor,https://www.tickettailor.com/,https://img.logo.dev/tickettailor.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/tickettailor.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Low-cost event ticketing platform for independent event organisers offering fee-free ticket sales and flexible box office management tools.,"B2B SaaS, Software & SaaS",2011,Software & SaaS,B2B SaaS,United Kingdom,1,ticket-tailor,"London, United Kingdom",,Ticket Tailor logo,Ticket Tailor - UK subscription brand,Ticket Tailor | UK Subscription | The UK Subscription Index,Low-cost event ticketing platform for independent event organisers offering fee-free ticket sales and flexible box office management tools. Listed on The UK Subscription Index.
Mention Me,https://www.mention-me.com/,https://img.logo.dev/mention-me.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/mention-me.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Referral marketing platform helping ecommerce and subscription brands turn customers into advocates with data-driven word-of-mouth campaigns.,"B2B SaaS, Marketing & Growth",2013,Marketing & Growth,B2B SaaS,United Kingdom,1,mention-me,"London, United Kingdom",,Mention Me logo,Mention Me - UK subscription brand,Mention Me | UK Subscription | The UK Subscription Index,Referral marketing platform helping ecommerce and subscription brands turn customers into advocates with data-driven word-of-mouth campaigns. Listed on The UK Subscription Index.
Deskpro,https://www.deskpro.com/,https://img.logo.dev/deskpro.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/deskpro.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Flexible helpdesk and customer support platform combining ticketing live chat and knowledge base tools for teams of all sizes.,"B2B SaaS, Software & SaaS",2002,Software & SaaS,B2B SaaS,United Kingdom,1,deskpro,"London, United Kingdom",,Deskpro logo,Deskpro - UK subscription brand,Deskpro | UK Subscription | The UK Subscription Index,Flexible helpdesk and customer support platform combining ticketing live chat and knowledge base tools for teams of all sizes. Listed on The UK Subscription Index.
ApprovalMax,https://approvalmax.com/,https://img.logo.dev/approvalmax.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/approvalmax.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Automated approval workflow software integrating with Xero and QuickBooks to streamline financial authorisation and purchase order processes.,"B2B SaaS, Software & SaaS",2015,Software & SaaS,B2B SaaS,United Kingdom,1,approvalmax,"London, United Kingdom",,ApprovalMax logo,ApprovalMax - UK subscription brand,ApprovalMax | UK Subscription | The UK Subscription Index,Automated approval workflow software integrating with Xero and QuickBooks to streamline financial authorisation and purchase order processes. Listed on The UK Subscription Index.
Cronofy,https://www.cronofy.com/,https://img.logo.dev/cronofy.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/cronofy.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Calendar API and scheduling infrastructure platform enabling SaaS products to add real-time calendar sync and interview scheduling features.,"B2B SaaS, Software & SaaS",2014,Software & SaaS,B2B SaaS,United Kingdom,1,cronofy,"Nottingham, United Kingdom",,Cronofy logo,Cronofy - UK subscription brand,Cronofy | UK Subscription | The UK Subscription Index,Calendar API and scheduling infrastructure platform enabling SaaS products to add real-time calendar sync and interview scheduling features. Listed on The UK Subscription Index.
StatusCake,https://www.statuscake.com/,https://img.logo.dev/statuscake.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/statuscake.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Website monitoring and uptime alerting platform providing real-time notifications when sites go down with global test locations and performance insights.,"B2B SaaS, Software & SaaS",2012,Software & SaaS,B2B SaaS,United Kingdom,1,statuscake,"London, United Kingdom",,StatusCake logo,StatusCake - UK subscription brand,StatusCake | UK Subscription | The UK Subscription Index,Website monitoring and uptime alerting platform providing real-time notifications when sites go down with global test locations and performance. Listed on The UK Subscription Index.
Ruler Analytics,https://www.ruleranalytics.com/,https://img.logo.dev/ruleranalytics.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/ruleranalytics.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Marketing attribution and revenue analytics platform connecting marketing touchpoints to CRM revenue data to prove and improve marketing ROI.,"B2B SaaS, Marketing & Growth",2014,Marketing & Growth,B2B SaaS,United Kingdom,1,ruler-analytics,"Stoke-on-Trent, United Kingdom",,Ruler Analytics logo,Ruler Analytics - UK subscription brand,Ruler Analytics | UK Subscription | The UK Subscription Index,Marketing attribution and revenue analytics platform connecting marketing touchpoints to CRM revenue data to prove and improve marketing ROI. Listed on The UK Subscription Index.
Signable,https://www.signable.com/,https://img.logo.dev/signable.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/signable.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,UK-built e-signature platform enabling businesses to send sign and manage contracts and documents digitally with legally binding signatures.,"B2B SaaS, Software & SaaS",2010,Software & SaaS,B2B SaaS,United Kingdom,1,signable,"Bristol, United Kingdom",,Signable logo,Signable - UK subscription brand,Signable | UK Subscription | The UK Subscription Index,UK-built e-signature platform enabling businesses to send sign and manage contracts and documents digitally with legally binding signatures. Listed on The UK Subscription Index.
Email Octopus,https://emailoctopus.com/,https://img.logo.dev/emailoctopus.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/emailoctopus.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Simple and affordable email marketing platform for growing businesses offering powerful automation and list management without the enterprise price tag.,"B2B SaaS, Marketing & Growth",2014,Marketing & Growth,B2B SaaS,United Kingdom,1,email-octopus,"London, United Kingdom",,Email Octopus logo,Email Octopus - UK subscription brand,Email Octopus | UK Subscription | The UK Subscription Index,Simple and affordable email marketing platform for growing businesses offering powerful automation and list management without the enterprise. Listed on The UK Subscription Index.
SeedLegals,https://seedlegals.com/,https://img.logo.dev/seedlegals.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/seedlegals.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Legal automation platform helping UK startups and investors complete funding rounds quickly using smart templates and pre-negotiated terms.,"B2B SaaS, Software & SaaS",2016,Software & SaaS,B2B SaaS,United Kingdom,1,seedlegals,"London, United Kingdom",,SeedLegals logo,SeedLegals - UK subscription brand,SeedLegals | UK Subscription | The UK Subscription Index,Legal automation platform helping UK startups and investors complete funding rounds quickly using smart templates and pre-negotiated terms. Listed on The UK Subscription Index.
Pinpoint,https://www.pinpointhq.com/,https://img.logo.dev/pinpointhq.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/pinpointhq.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Modern applicant tracking system and recruitment software helping in-house talent teams attract manage and hire candidates more effectively.,"B2B SaaS, HR & Operations",2017,HR & Operations,B2B SaaS,United Kingdom,1,pinpoint,"London, United Kingdom",,Pinpoint logo,Pinpoint - UK subscription brand,Pinpoint | UK Subscription | The UK Subscription Index,Modern applicant tracking system and recruitment software helping in-house talent teams attract manage and hire candidates more effectively. Listed on The UK Subscription Index.
