name,url,logo_url,image_url,description,tags,founded_year,category,type,country,is_active
Bike Club,https://bikeclub.com/,https://img.logo.dev/bikeclub.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bikeclub.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Children's bicycle subscription allowing kids to upgrade to a larger bike as they grow while avoiding single-purchase waste.,"D2C Subscription, Baby & Kids",2018,Baby & Kids,D2C Subscription,United Kingdom,1
Bird & Blend Tea Co.,https://www.birdandblendtea.com/,https://img.logo.dev/birdandblendtea.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/birdandblendtea.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Independent tea brand blending innovative loose leaf teas and herbals available in-store online and on subscription.,"D2C Subscription, Coffee & Tea",2013,Coffee & Tea,D2C Subscription,United Kingdom,1
Biscuiteers,https://www.biscuiteers.com/,https://img.logo.dev/biscuiteers.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/biscuiteers.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Hand-iced luxury biscuit subscription and gifting brand known for beautiful and intricate designs for every occasion.,"D2C Subscription, Food & Snacks",2007,Food & Snacks,D2C Subscription,United Kingdom,1
Bloom & Wild,https://www.bloomandwild.com/,https://img.logo.dev/bloomandwild.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bloomandwild.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,The UK's most-loved letterbox flower subscription delivering fresh seasonal bouquets and gifts curated by hand.,"D2C Subscription, Flower & Gift Delivery",2013,Flower & Gift Delivery,D2C Subscription,United Kingdom,1
BOL Foods,https://bolfoods.com/,https://img.logo.dev/bolfoods.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bolfoods.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plant-based ready meals and salads on subscription designed to make healthy and protein-rich eating simple and delicious.,"D2C Subscription, Food & Drink Subscription",2015,Food & Drink Subscription,D2C Subscription,United Kingdom,1
Bold Bean Co,https://boldbeanco.com/,https://img.logo.dev/boldbeanco.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/boldbeanco.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium jarred beans subscription revolutionising how people cook and eat with sustainably sourced legumes.,"D2C Subscription, Food & Snacks",2020,Food & Snacks,D2C Subscription,United Kingdom,1
Bookishly,https://www.bookishly.co.uk/,https://img.logo.dev/bookishly.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bookishly.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Literary-inspired subscription delivering beautifully designed book accessories prints and bookish lifestyle products monthly.,"D2C Subscription, Books & Entertainment",2016,Books & Entertainment,D2C Subscription,United Kingdom,1
Bower Collective,https://bowercollective.com/,https://img.logo.dev/bowercollective.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bowercollective.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plastic-free home and personal care product subscription offering sustainably packaged alternatives to mainstream brands.,"D2C Subscription, Eco & Sustainable Products",2019,Eco & Sustainable Products,D2C Subscription,United Kingdom,1
Bulk,https://www.bulk.com/uk,https://img.logo.dev/bulk.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/bulk.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sports nutrition and supplement brand offering transparent and affordable quality products for fitness-focused individuals.,"D2C Subscription, Health & Wellness",2006,Health & Wellness,D2C Subscription,United Kingdom,1
Butternut Box,https://butternutbox.com/,https://img.logo.dev/butternutbox.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/butternutbox.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Freshly prepared human-grade dog food subscription delivered in personalised portions tailored to each dog's health needs.,"D2C Subscription, Pet Food & Care",2016,Pet Food & Care,D2C Subscription,United Kingdom,1
ByRuby,https://byruby.co.uk/,https://img.logo.dev/byruby.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/byruby.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Artisan frozen meal subscription delivering hand-crafted restaurant-quality dishes in compostable packaging to your door.,"D2C Subscription, Food & Drink Subscription",2019,Food & Drink Subscription,D2C Subscription,United Kingdom,1
Candy Kittens,https://candykittens.co.uk/,https://img.logo.dev/candykittens.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/candykittens.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium vegan gourmet sweets on subscription made with real fruit flavours and no artificial colours or flavours.,"D2C Subscription, Food & Snacks",2012,Food & Snacks,D2C Subscription,United Kingdom,1
Cheesegeek,https://www.thecheesegeek.com/,https://img.logo.dev/thecheesegeek.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/thecheesegeek.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Artisan cheese subscription delivering expertly curated seasonal cheeses with detailed tasting notes delivered monthly.,"D2C Subscription, Food & Snacks",2016,Food & Snacks,D2C Subscription,United Kingdom,1
Chip,https://www.getchip.uk/,https://img.logo.dev/getchip.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/getchip.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,AI-powered savings and investment app that automatically saves money based on spending patterns with premium subscription tiers.,"D2C Subscription, Finance & Fintech",2017,Finance & Fintech,D2C Subscription,United Kingdom,1
Cleo AI,https://web.meetcleo.com/,https://img.logo.dev/meetcleo.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/meetcleo.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,AI financial assistant app with premium subscription offering budgeting tools cash advances and personalised financial coaching.,"D2C Subscription, Finance & Fintech",2016,Finance & Fintech,D2C Subscription,United Kingdom,1
Cleanco,https://clean.co/,https://img.logo.dev/clean.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/clean.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium alcohol-free spirits subscription replicating gin rum tequila and spiced rum without the alcohol.,"D2C Subscription, Alcohol-Free & Craft Drinks",2019,Alcohol-Free & Craft Drinks,D2C Subscription,United Kingdom,1
Cocoa Runners,https://cocoarunners.com/,https://img.logo.dev/cocoarunners.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/cocoarunners.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Craft chocolate subscription and discovery club connecting chocolate lovers with the world's finest bean-to-bar makers.,"D2C Subscription, Food & Snacks",2013,Food & Snacks,D2C Subscription,United Kingdom,1
COOK,https://www.cookfood.net/,https://img.logo.dev/cookfood.net?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/cookfood.net?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium frozen meal brand delivering homemade-quality ready meals on subscription through its nationwide store network.,"D2C Subscription, Food & Drink Subscription",1997,Food & Drink Subscription,D2C Subscription,United Kingdom,1
Craft Gin Club,https://www.craftginclub.co.uk/,https://img.logo.dev/craftginclub.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/craftginclub.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Monthly gin discovery subscription delivering exclusive small-batch gins with cocktail mixers and tasting guides.,"D2C Subscription, Wine & Spirits",2015,Wine & Spirits,D2C Subscription,United Kingdom,1
Curve,https://www.curve.com/,https://img.logo.dev/curve.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/curve.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Smart wallet subscription consolidating multiple bank cards into one with cashback travel perks and spend controls.,"D2C Subscription, Finance & Fintech",2016,Finance & Fintech,D2C Subscription,United Kingdom,1
Dame,https://wearedame.co/,https://img.logo.dev/wearedame.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/wearedame.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sustainable period care brand making reusable and organic disposable products to end single-use period waste.,"D2C Subscription, Beauty & Personal Care",2018,Beauty & Personal Care,D2C Subscription,United Kingdom,1
Dash Water,https://dash-water.com/,https://img.logo.dev/dash-water.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dash-water.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sparkling water infused with wonky fruit on subscription providing a sustainable zero-sugar alternative to soft drinks.,"D2C Subscription, Alcohol-Free & Craft Drinks",2017,Alcohol-Free & Craft Drinks,D2C Subscription,United Kingdom,1
Daye,https://www.yourdaye.com/,https://img.logo.dev/yourdaye.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/yourdaye.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,CBD-infused organic tampons and femtech products designed to address period pain and gynaecological health.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1
Days Brewing,https://daysbrewing.com/,https://img.logo.dev/daysbrewing.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/daysbrewing.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Zero-alcohol beer brand producing great-tasting lagers and IPAs for health-conscious and mindful drinkers on subscription.,"D2C Subscription, Alcohol-Free & Craft Drinks",2020,Alcohol-Free & Craft Drinks,D2C Subscription,United Kingdom,1
Dermatica,https://www.dermatica.co.uk/,https://img.logo.dev/dermatica.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dermatica.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Online prescription skincare clinic delivering personalised retinoid treatments for acne pigmentation and ageing on subscription.,"D2C Subscription, Beauty & Personal Care",2019,Beauty & Personal Care,D2C Subscription,United Kingdom,1
Different Dog,https://www.differentdog.com/,https://img.logo.dev/differentdog.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/differentdog.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Gently cooked and vet-approved fresh dog food personalised to your dog's specific breed weight and health needs.,"D2C Subscription, Pet Food & Care",2017,Pet Food & Care,D2C Subscription,United Kingdom,1
Dirtea,https://www.dirteaworld.com/,https://img.logo.dev/dirteaworld.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dirteaworld.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium functional mushroom tea and coffee subscription harnessing adaptogenic mushrooms for daily health and wellbeing benefits.,"D2C Subscription, Coffee & Tea",2021,Coffee & Tea,D2C Subscription,United Kingdom,1
Dr Vegan,https://www.drvegan.com/,https://img.logo.dev/drvegan.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/drvegan.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Personalised plant-based vitamins and supplements delivered monthly and formulated to individual nutritional needs and health goals.,"D2C Subscription, Health & Wellness",2019,Health & Wellness,D2C Subscription,United Kingdom,1
DukesHill,https://www.dukeshill.co.uk/,https://img.logo.dev/dukeshill.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dukeshill.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Royal Warrant-holding artisan food subscription delivering premium British charcuterie cheese and seasonal hampers.,"D2C Subscription, Food & Drink Subscription",2002,Food & Drink Subscription,D2C Subscription,United Kingdom,1
Emma App,https://emma-app.com/,https://img.logo.dev/emma-app.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/emma-app.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Personal finance app helping subscribers track spending manage bills and grow savings through open banking data.,"D2C Subscription, Finance & Fintech",2018,Finance & Fintech,D2C Subscription,United Kingdom,1
Exhale Coffee,https://exhalecoffee.com/,https://img.logo.dev/exhalecoffee.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/exhalecoffee.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Health-focused mushroom and adaptogen coffee subscription with lower caffeine and added functional wellness benefits.,"D2C Subscription, Coffee & Tea",2020,Coffee & Tea,D2C Subscription,United Kingdom,1
FairyLoot,https://fairyloot.com/,https://img.logo.dev/fairyloot.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/fairyloot.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium fantasy book box subscription with exclusive editions author-signed copies and themed bookish merchandise.,"D2C Subscription, Books & Entertainment",2015,Books & Entertainment,D2C Subscription,United Kingdom,1
Feel,https://wearefeel.com/,https://img.logo.dev/wearefeel.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/wearefeel.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Personalised daily vitamin subscription formulated by scientists to address individual nutritional gaps and health goals.,"D2C Subscription, Health & Wellness",2019,Health & Wellness,D2C Subscription,United Kingdom,1
Field Doctor,https://www.fielddoctor.co.uk/,https://img.logo.dev/fielddoctor.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/fielddoctor.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Dietitian-designed and NHS-approved frozen meals clinically proven to support specific health conditions through food as medicine.,"D2C Subscription, Health & Wellness",2019,Health & Wellness,D2C Subscription,United Kingdom,1
Fiit,https://fiit.tv/,https://img.logo.dev/fiit.tv?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/fiit.tv?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Interactive home fitness subscription with live and on-demand classes tracked by wearable devices in real time.,"D2C Subscription, Fitness & Wellness Apps",2017,Fitness & Wellness Apps,D2C Subscription,United Kingdom,1
Flowerbx,https://www.flowerbx.com/,https://img.logo.dev/flowerbx.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/flowerbx.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Luxury single-variety flower subscription sourcing premium blooms directly from growers for same-day and next-day delivery.,"D2C Subscription, Flower & Gift Delivery",2016,Flower & Gift Delivery,D2C Subscription,United Kingdom,1
Forage Botanicals,https://foragebotanicals.co.uk/,https://img.logo.dev/foragebotanicals.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/foragebotanicals.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Herbalist-formulated tinctures and supplements for women's health using wild-crafted and organic botanical ingredients.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1
Form Nutrition,https://formnutrition.com/,https://img.logo.dev/formnutrition.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/formnutrition.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Plant-based performance nutrition with evidence-backed protein powders and supplements designed for active lifestyles.,"D2C Subscription, Health & Wellness",2017,Health & Wellness,D2C Subscription,United Kingdom,1
Forthglade,https://forthglade.com/,https://img.logo.dev/forthglade.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/forthglade.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Devon-based natural wet and dry pet food brand using whole and responsibly sourced British ingredients on subscription.,"D2C Subscription, Pet Food & Care",1971,Pet Food & Care,D2C Subscription,United Kingdom,1
Free Soul,https://freesoul.com/,https://img.logo.dev/freesoul.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/freesoul.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Women's wellness supplements and protein blends specifically formulated to support female hormones energy and overall health.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1
