name,url,logo_url,image_url,description,tags,founded_year,category,type,country,is_active,slug,address,social_links,logo_alt_text,image_alt_text,seo_title,seo_description
Cleanco,https://clean.co/,https://img.logo.dev/clean.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/clean.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium alcohol-free spirits subscription replicating gin rum tequila and spiced rum without the alcohol.,"D2C Subscription, Alcohol-Free & Craft Drinks",2019,Alcohol-Free & Craft Drinks,D2C Subscription,United Kingdom,1,cleanco,"London, United Kingdom",,Cleanco logo,Cleanco - UK subscription brand,Cleanco | UK Subscription | The UK Subscription Index,Premium alcohol-free spirits subscription replicating gin rum tequila and spiced rum without the. Listed on The UK Subscription Index.
Cocoa Runners,https://cocoarunners.com/,https://img.logo.dev/cocoarunners.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/cocoarunners.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Craft chocolate subscription and discovery club connecting chocolate lovers with the world's finest bean-to-bar makers.,"D2C Subscription, Food & Snacks",2013,Food & Snacks,D2C Subscription,United Kingdom,1,cocoa-runners,"London, United Kingdom",,Cocoa Runners logo,Cocoa Runners - UK subscription brand,Cocoa Runners | UK Subscription | The UK Subscription Index,Craft chocolate subscription and discovery club connecting chocolate lovers with the world's finest bean-to-bar. Listed on The UK Subscription Index.
COOK,https://www.cookfood.net/,https://img.logo.dev/cookfood.net?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/cookfood.net?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium frozen meal brand delivering homemade-quality ready meals on subscription through its nationwide store network.,"D2C Subscription, Food & Drink Subscription",1997,Food & Drink Subscription,D2C Subscription,United Kingdom,1,cook,"Sittingbourne, United Kingdom",,COOK logo,COOK - UK subscription brand,COOK | UK Subscription | The UK Subscription Index,Premium frozen meal brand delivering homemade-quality ready meals on subscription through its nationwide store. Listed on The UK Subscription Index.
Craft Gin Club,https://www.craftginclub.co.uk/,https://img.logo.dev/craftginclub.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/craftginclub.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Monthly gin discovery subscription delivering exclusive small-batch gins with cocktail mixers and tasting guides.,"D2C Subscription, Wine & Spirits",2015,Wine & Spirits,D2C Subscription,United Kingdom,1,craft-gin-club,"London, United Kingdom",,Craft Gin Club logo,Craft Gin Club - UK subscription brand,Craft Gin Club | UK Subscription | The UK Subscription Index,Monthly gin discovery subscription delivering exclusive small-batch gins with cocktail mixers and tasting. Listed on The UK Subscription Index.
Curve,https://www.curve.com/,https://img.logo.dev/curve.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/curve.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Smart wallet subscription consolidating multiple bank cards into one with cashback travel perks and spend controls.,"D2C Subscription, Finance & Fintech",2016,Finance & Fintech,D2C Subscription,United Kingdom,1,curve,"London, United Kingdom",,Curve logo,Curve - UK subscription brand,Curve | UK Subscription | The UK Subscription Index,Smart wallet subscription consolidating multiple bank cards into one with cashback travel perks and spend. Listed on The UK Subscription Index.
Dame,https://wearedame.co/,https://img.logo.dev/wearedame.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/wearedame.co?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sustainable period care brand making reusable and organic disposable products to end single-use period waste.,"D2C Subscription, Beauty & Personal Care",2018,Beauty & Personal Care,D2C Subscription,United Kingdom,1,dame,"London, United Kingdom",,Dame logo,Dame - UK subscription brand,Dame | UK Subscription | The UK Subscription Index,Sustainable period care brand making reusable and organic disposable products to end single-use period. Listed on The UK Subscription Index.
Dash Water,https://dash-water.com/,https://img.logo.dev/dash-water.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dash-water.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Sparkling water infused with wonky fruit on subscription providing a sustainable zero-sugar alternative to soft drinks.,"D2C Subscription, Alcohol-Free & Craft Drinks",2017,Alcohol-Free & Craft Drinks,D2C Subscription,United Kingdom,1,dash-water,"London, United Kingdom",,Dash Water logo,Dash Water - UK subscription brand,Dash Water | UK Subscription | The UK Subscription Index,Sparkling water infused with wonky fruit on subscription providing a sustainable zero-sugar alternative to soft. Listed on The UK Subscription Index.
Daye,https://www.yourdaye.com/,https://img.logo.dev/yourdaye.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/yourdaye.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,CBD-infused organic tampons and femtech products designed to address period pain and gynaecological health.,"D2C Subscription, Health & Wellness",2018,Health & Wellness,D2C Subscription,United Kingdom,1,daye,"London, United Kingdom",,Daye logo,Daye - UK subscription brand,Daye | UK Subscription | The UK Subscription Index,CBD-infused organic tampons and femtech products designed to address period pain and gynaecological. Listed on The UK Subscription Index.
Days Brewing,https://daysbrewing.com/,https://img.logo.dev/daysbrewing.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/daysbrewing.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Zero-alcohol beer brand producing great-tasting lagers and IPAs for health-conscious and mindful drinkers on subscription.,"D2C Subscription, Alcohol-Free & Craft Drinks",2020,Alcohol-Free & Craft Drinks,D2C Subscription,United Kingdom,1,days-brewing,"London, United Kingdom",,Days Brewing logo,Days Brewing - UK subscription brand,Days Brewing | UK Subscription | The UK Subscription Index,Zero-alcohol beer brand producing great-tasting lagers and IPAs for health-conscious and mindful drinkers on. Listed on The UK Subscription Index.
Dermatica,https://www.dermatica.co.uk/,https://img.logo.dev/dermatica.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dermatica.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Online prescription skincare clinic delivering personalised retinoid treatments for acne pigmentation and ageing on subscription.,"D2C Subscription, Beauty & Personal Care",2019,Beauty & Personal Care,D2C Subscription,United Kingdom,1,dermatica,"London, United Kingdom",,Dermatica logo,Dermatica - UK subscription brand,Dermatica | UK Subscription | The UK Subscription Index,Online prescription skincare clinic delivering personalised retinoid treatments for acne pigmentation and ageing on. Listed on The UK Subscription Index.
Different Dog,https://www.differentdog.com/,https://img.logo.dev/differentdog.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/differentdog.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Gently cooked and vet-approved fresh dog food personalised to your dog's specific breed weight and health needs.,"D2C Subscription, Pet Food & Care",2017,Pet Food & Care,D2C Subscription,United Kingdom,1,different-dog,"Shropshire, United Kingdom",,Different Dog logo,Different Dog - UK subscription brand,Different Dog | UK Subscription | The UK Subscription Index,Gently cooked and vet-approved fresh dog food personalised to your dog's specific breed weight and health. Listed on The UK Subscription Index.
Dirtea,https://www.dirteaworld.com/,https://img.logo.dev/dirteaworld.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dirteaworld.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Premium functional mushroom tea and coffee subscription harnessing adaptogenic mushrooms for daily health and wellbeing benefits.,"D2C Subscription, Coffee & Tea",2021,Coffee & Tea,D2C Subscription,United Kingdom,1,dirtea,"London, United Kingdom",,Dirtea logo,Dirtea - UK subscription brand,Dirtea | UK Subscription | The UK Subscription Index,Premium functional mushroom tea and coffee subscription harnessing adaptogenic mushrooms for daily health and wellbeing. Listed on The UK Subscription Index.
Dr Vegan,https://www.drvegan.com/,https://img.logo.dev/drvegan.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/drvegan.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Personalised plant-based vitamins and supplements delivered monthly and formulated to individual nutritional needs and health goals.,"D2C Subscription, Health & Wellness",2019,Health & Wellness,D2C Subscription,United Kingdom,1,dr-vegan,"London, United Kingdom",,Dr Vegan logo,Dr Vegan - UK subscription brand,Dr Vegan | UK Subscription | The UK Subscription Index,Personalised plant-based vitamins and supplements delivered monthly and formulated to individual nutritional needs and health. Listed on The UK Subscription Index.
DukesHill,https://www.dukeshill.co.uk/,https://img.logo.dev/dukeshill.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/dukeshill.co.uk?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Royal Warrant-holding artisan food subscription delivering premium British charcuterie cheese and seasonal hampers.,"D2C Subscription, Food & Drink Subscription",2002,Food & Drink Subscription,D2C Subscription,United Kingdom,1,dukeshill,"Staffordshire, United Kingdom",,DukesHill logo,DukesHill - UK subscription brand,DukesHill | UK Subscription | The UK Subscription Index,Royal Warrant-holding artisan food subscription delivering premium British charcuterie cheese and seasonal. Listed on The UK Subscription Index.
Emma App,https://emma-app.com/,https://img.logo.dev/emma-app.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/emma-app.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Personal finance app helping subscribers track spending manage bills and grow savings through open banking data.,"D2C Subscription, Finance & Fintech",2018,Finance & Fintech,D2C Subscription,United Kingdom,1,emma-app,"London, United Kingdom",,Emma App logo,Emma App - UK subscription brand,Emma App | UK Subscription | The UK Subscription Index,Personal finance app helping subscribers track spending manage bills and grow savings through open banking. Listed on The UK Subscription Index.
Exhale Coffee,https://exhalecoffee.com/,https://img.logo.dev/exhalecoffee.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=128,https://img.logo.dev/exhalecoffee.com?token=pk_TcapZLpnR4CkW-ZBdN1Hlg&size=400&retina=true,Health-focused mushroom and adaptogen coffee subscription with lower caffeine and added functional wellness benefits.,"D2C Subscription, Coffee & Tea",2020,Coffee & Tea,D2C Subscription,United Kingdom,1,exhale-coffee,"London, United Kingdom",,Exhale Coffee logo,Exhale Coffee - UK subscription brand,Exhale Coffee | UK Subscription | The UK Subscription Index,Health-focused mushroom and adaptogen coffee subscription with lower caffeine and added functional wellness. Listed on The UK Subscription Index.
